ID,mediaQ,thumbs
252802691966,0,3
252802691959,0,3
252802692148,2,3
252802692008,0,3
252802692116,0,3
252802692017,1,3
252802692060,0,3
252802691988,0,3
252802692051,0,3
252802692006,2,3
252802692080,1,3
252802691984,0,3
252802692068,3,3
252802692022,12,11
252802691974,40,39
252802692083,42,41
252802692047,83,82
252802692093,1,3
252802691990,0,3
252802692098,0,3
252802692053,0,3
252802692120,0,3
252802691993,0,3
252802691969,0,3
252802692032,0,3
252802692136,0,3
252802692039,0,3
252802692059,0,3
252802691994,1,3
252802692127,2,3
252802692113,0,3
252802692055,0,3
252802692005,0,3
252802692097,2,3
252802691951,16,15
252802692140,34,33
252802692026,59,58
252802691952,88,87
252802691987,63,62
252802691982,56,55
252802692061,15,14
252802691995,13,12
252802692100,12,11
252802691971,25,24
252802691999,1,3
252802691986,2,3
252802692033,13,12
252802692012,12,11
252802692058,1,3
252802692099,0,3
252802692066,10,9
252802692072,0,3
252802692076,0,3
252802692042,0,3
252802692027,13,12
252802692087,11,10
252802691958,43,42
252802692016,0,3
252802692009,0,3
252802692134,7,6
252802692028,7,6
252802692001,2,3
252802692065,3,3
252802691953,1,3
252802692110,1,3
252802692109,0,3
252802692034,5,4
252802692003,0,3
252802692067,0,3
252802692002,0,3
252802692115,0,3
252802691970,6,5
252802692137,3,3
252802691979,2,3
252802692040,0,3
252802692015,0,3
252802692094,0,3
252802691978,5,4
252802692102,2,3
252802692029,7,6
252802692043,0,3
252802692096,0,3
252802692141,0,3
252802692135,0,3
252802692063,0,3
252802691975,0,3
252802692078,0,3
252802692132,1,3
252802692037,0,3
252802692104,1,3
252802691977,30,29
252802691998,0,3
252802691991,4,3
252802691963,0,3
252802692077,0,3
252802692079,1,3
252802691973,5,4
252802692013,3,3
252802692125,0,3
252802691962,3,3
252802692054,0,3
252802692138,0,3
252802692073,1,3
252802691957,10,9
252802691983,34,33
252802691980,2,3
252802692045,2,3
252802692144,14,13
252802692023,0,3
252802691989,0,3
252802692139,4,3
252802691968,0,3
252802692095,0,3
252802692117,10,9
252802692050,0,3
252802691976,0,3
252802691964,0,3
252802692105,0,3
252802692024,25,24
252802692131,6,5
252802692057,2,3
252802691961,0,3
252802692071,0,3
252802692036,2,3
252802692122,2,3
252802692021,0,3
252802692121,0,3
252802692086,0,3
252802692025,1,3
252802691956,3,3
252802692049,13,12
252802692091,0,3
252802692085,1,3
252802692030,7,6
252802692133,1,3
252802692004,5,4
252802692111,4,3
