portal_id,old_figure_count,new_figure_count,status
252802691950,N/A,N/A,SKIPPED_NO_MEDIA
252802691951,2,15,MODIFIED
252802691952,2,87,MODIFIED
252802691953,2,0,MODIFIED
252802691954,2,2,UNCHANGED
252802691955,2,0,MODIFIED
252802691956,2,2,UNCHANGED
252802691957,2,9,MODIFIED
252802691958,2,42,MODIFIED
252802691959,N/A,N/A,SKIPPED_NO_MEDIA
252802691960,2,2,UNCHANGED
252802691961,N/A,N/A,SKIPPED_NO_MEDIA
252802691962,2,2,UNCHANGED
252802691963,N/A,N/A,SKIPPED_NO_MEDIA
252802691964,N/A,N/A,SKIPPED_NO_MEDIA
252802691965,N/A,N/A,SKIPPED_NO_MEDIA
252802691966,N/A,N/A,SKIPPED_NO_MEDIA
252802691967,2,21,MODIFIED
252802691968,N/A,N/A,SKIPPED_NO_MEDIA
252802691969,N/A,N/A,SKIPPED_NO_MEDIA
252802691970,2,5,MODIFIED
252802691971,2,24,MODIFIED
252802691972,2,0,MODIFIED
252802691973,2,4,MODIFIED
252802691974,2,39,MODIFIED
252802691975,N/A,N/A,SKIPPED_NO_MEDIA
252802691976,N/A,N/A,SKIPPED_NO_MEDIA
252802691977,2,29,MODIFIED
252802691978,2,4,MODIFIED
252802691979,2,1,MODIFIED
252802691980,2,1,MODIFIED
252802691981,2,2,UNCHANGED
252802691982,2,55,MODIFIED
252802691983,2,33,MODIFIED
252802691984,N/A,N/A,SKIPPED_NO_MEDIA
252802691985,N/A,N/A,SKIPPED_NO_MEDIA
252802691986,2,1,MODIFIED
252802691987,2,62,MODIFIED
252802691988,N/A,N/A,SKIPPED_NO_MEDIA
252802691989,N/A,N/A,SKIPPED_NO_MEDIA
252802691990,N/A,N/A,SKIPPED_NO_MEDIA
252802691991,2,1,MODIFIED
252802691992,N/A,N/A,SKIPPED_NO_MEDIA
252802691993,N/A,N/A,SKIPPED_NO_MEDIA
252802691994,2,0,MODIFIED
252802691995,2,12,MODIFIED
252802691996,N/A,N/A,SKIPPED_NO_MEDIA
252802691997,N/A,N/A,SKIPPED_NO_MEDIA
252802691998,N/A,N/A,SKIPPED_NO_MEDIA
252802691999,2,0,MODIFIED
252802692000,N/A,N/A,SKIPPED_NO_MEDIA
252802692001,2,1,MODIFIED
252802692002,N/A,N/A,SKIPPED_NO_MEDIA
252802692003,N/A,N/A,SKIPPED_NO_MEDIA
252802692004,2,3,MODIFIED
252802692005,N/A,N/A,SKIPPED_NO_MEDIA
252802692006,2,1,MODIFIED
252802692007,N/A,N/A,SKIPPED_NO_MEDIA
252802692008,N/A,N/A,SKIPPED_NO_MEDIA
252802692009,N/A,N/A,SKIPPED_NO_MEDIA
252802692010,N/A,N/A,SKIPPED_NO_MEDIA
252802692011,N/A,N/A,SKIPPED_NO_MEDIA
252802692012,2,11,MODIFIED
252802692013,2,2,UNCHANGED
252802692014,2,7,MODIFIED
252802692015,N/A,N/A,SKIPPED_NO_MEDIA
252802692016,N/A,N/A,SKIPPED_NO_MEDIA
252802692017,2,0,MODIFIED
